date,Date.1,Min_F,Avg_F,Max_F,Avg1.5m_DP,Avg1.5m_RH,Avg1.5m_LWu,AvgDir,Avg_Speedmph,2m_MaxGustmph,2_in_F,Min_F.1,Avg_F.1,TotPrecin,TotalSolarRad,EToin,ETrin
2012/09/22,22,50.2,60.7,75.5,47.4,63.4,0.43,S,2.3,8.9,,70.5,72.3,0,14.34,0.1,0.13
2012/09/23,23,46.7,56.4,70.9,45.3,68,0.52,SW,2.6,7.4,,69.1,70.4,0,9.12,0.08,0.11
2012/09/24,24,46.7,59.9,74.8,47.9,66.8,0.51,S,2.6,8.5,,67.6,69.5,0,14.29,0.1,0.13
2012/09/25,25,47.3,61.2,75.6,43.2,55.5,0.35,SW,2.6,11.4,,67.9,69.9,0,16.48,0.11,0.15
2012/09/26,26,41.1,57.9,75,41.1,57,0.35,S,2.7,7.8,,66.9,69.1,0,16.87,0.11,0.14
2012/09/27,27,44.3,60.3,76.7,43.3,56.6,0.31,S,3,8.9,,67,69.2,0,16.73,0.11,0.15
2012/09/28,28,45.4,59.4,74.6,46.6,64.7,0.46,S,2.7,6.7,,67.1,68.9,0,11.65,0.09,0.12
2012/09/29,29,49.8,63.6,80.6,47,58.4,0.4,S,2.7,10.3,,67.4,69.4,0,15.79,0.11,0.15
2012/09/30,30,44.4,59.8,76.2,36,44.3,0.14,S,3,7.4,,66.6,68.9,0,16.97,0.12,0.16
2012/10/01,1,46.1,63.4,79.1,43.3,50,0.09,SW,3.3,27.1,,66.5,68.7,0,16.55,0.12,0.17
2012/10/02,2,40.3,60.5,75.6,36.6,44.5,0.16,S,4.1,20,,67.3,69.1,0,17.07,0.13,0.19
2012/10/03,3,34.5,47.9,59.9,27.2,46.5,0.02,S,4.3,12.4,,64.4,66.3,0,16.42,0.1,0.14
2012/10/04,4,36.3,48.4,61.6,27.5,47,0.05,SW,4.1,12.8,,62.4,64.3,0,16.23,0.1,0.14
2012/10/05,5,32.9,47.1,61.2,25.1,46,0.14,S,3.9,11.7,,60.8,62.9,0,16.18,0.09,0.14
2012/10/06,6,32.7,49.3,65.2,25.4,43.1,0.1,S,3,11.4,,59.7,62,0,15.87,0.09,0.13
